,age,c_charge_degree,score_text,sex,priors_count,African-American,Asian,Caucasian,Hispanic,Native American,Other
0,69,0,1,1,0,0,0,0,0,0,1
1,34,0,1,1,0,1,0,0,0,0,0
2,24,0,1,1,4,1,0,0,0,0,0
3,44,1,1,1,0,0,0,0,0,0,1
4,41,0,1,1,14,0,0,1,0,0,0
5,43,0,1,1,3,0,0,0,0,0,1
6,39,1,1,0,0,0,0,1,0,0,0
7,27,0,1,1,0,0,0,1,0,0,0
8,23,1,1,1,3,1,0,0,0,0,0
9,37,1,1,0,0,0,0,1,0,0,0
10,41,0,1,1,0,1,0,0,0,0,0
11,47,0,1,0,1,0,0,1,0,0,0
12,31,0,1,1,7,1,0,0,0,0,0
13,37,1,1,1,0,0,0,0,1,0,0
14,25,0,0,1,3,1,0,0,0,0,0
15,31,0,1,1,6,0,0,1,0,0,0
16,31,0,1,1,5,0,0,1,0,0,0
17,64,0,1,1,13,1,0,0,0,0,0
18,21,0,0,1,1,1,0,0,0,0,0
19,27,1,1,1,0,0,0,1,0,0,0
20,21,0,1,0,0,0,0,1,0,0,0
21,24,0,1,1,1,0,0,0,1,0,0
22,43,1,1,1,1,0,0,1,0,0,0
23,32,1,1,1,0,0,0,0,0,0,1
24,27,0,1,1,8,1,0,0,0,0,0
25,26,0,1,1,5,1,0,0,0,0,0
26,33,0,0,1,0,1,0,0,0,0,0
27,30,0,0,1,9,0,0,1,0,0,0
28,32,0,0,1,4,1,0,0,0,0,0
29,55,0,1,1,0,0,0,1,0,0,0
30,49,0,1,1,7,0,0,0,0,0,1
31,33,1,1,0,4,0,0,1,0,0,0
32,24,1,1,1,1,0,0,1,0,0,0
33,34,0,0,1,21,1,0,0,0,0,0
34,29,1,1,1,0,0,0,1,0,0,0
35,21,0,0,0,2,1,0,0,0,0,0
36,51,1,1,1,2,1,0,0,0,0,0
37,29,1,1,1,2,0,0,1,0,0,0
38,51,0,1,0,7,1,0,0,0,0,0
39,29,0,1,1,0,1,0,0,0,0,0
40,25,1,0,1,9,0,0,1,0,0,0
41,35,0,0,1,13,1,0,0,0,0,0
42,49,1,1,1,0,0,0,1,0,0,0
43,29,0,1,1,0,1,0,0,0,0,0
44,29,0,1,1,1,0,0,1,0,0,0
45,28,0,1,0,0,0,0,0,0,0,1
46,31,0,1,1,15,1,0,0,0,0,0
47,24,0,1,1,2,1,0,0,0,0,0
48,30,1,1,1,0,0,0,0,1,0,0
49,49,1,1,1,4,1,0,0,0,0,0
50,53,0,1,1,8,0,0,1,0,0,0
51,35,0,1,1,5,1,0,0,0,0,0
52,27,0,0,1,15,1,0,0,0,0,0
53,38,1,1,1,4,0,0,1,0,0,0
54,22,0,1,1,1,1,0,0,0,0,0
55,29,0,0,1,4,1,0,0,0,0,0
56,62,1,1,1,0,0,0,0,1,0,0
57,27,0,1,1,6,1,0,0,0,0,0
58,33,1,1,1,0,0,0,0,0,0,1
59,56,1,1,0,0,1,0,0,0,0,0
60,45,0,1,1,6,0,0,0,1,0,0
61,22,0,1,1,1,0,0,0,1,0,0
62,39,1,1,1,1,1,0,0,0,0,0
63,29,0,1,1,5,1,0,0,0,0,0
64,27,0,1,1,1,0,0,1,0,0,0
65,40,0,1,1,2,1,0,0,0,0,0
66,22,1,1,1,1,1,0,0,0,0,0
67,22,0,0,1,0,0,0,1,0,0,0
68,26,0,1,0,1,1,0,0,0,0,0
69,32,0,1,1,0,1,0,0,0,0,0
70,41,1,1,1,1,1,0,0,0,0,0
71,30,1,0,1,8,1,0,0,0,0,0
72,50,0,1,1,0,0,0,0,0,0,1
73,25,0,0,1,14,1,0,0,0,0,0
74,20,0,1,1,0,0,0,0,0,0,1
75,22,0,0,1,2,1,0,0,0,0,0
76,35,1,1,0,1,1,0,0,0,0,0
77,36,0,1,1,9,1,0,0,0,0,0
78,26,0,0,1,7,0,0,1,0,0,0
79,21,0,1,1,1,0,0,0,0,0,1
80,25,0,0,1,9,0,0,1,0,0,0
81,20,0,1,0,0,0,0,1,0,0,0
82,39,0,1,1,2,0,0,1,0,0,0
83,54,1,1,0,0,0,0,1,0,0,0
84,44,1,1,0,0,0,0,0,1,0,0
85,19,1,1,1,1,1,0,0,0,0,0
86,30,0,1,1,1,1,0,0,0,0,0
87,39,0,1,0,0,0,0,1,0,0,0
88,24,0,1,1,8,0,0,1,0,0,0
89,30,0,1,1,0,0,0,1,0,0,0
90,31,1,1,1,0,0,0,1,0,0,0
91,39,0,1,0,1,0,0,1,0,0,0
92,43,0,1,1,1,0,0,1,0,0,0
93,21,0,0,1,3,1,0,0,0,0,0
94,38,1,1,1,5,0,0,1,0,0,0
95,34,0,1,1,0,0,0,1,0,0,0
96,33,0,1,1,5,1,0,0,0,0,0
97,37,0,1,1,3,1,0,0,0,0,0
98,42,0,1,1,1,0,0,1,0,0,0
99,41,0,0,1,10,1,0,0,0,0,0
100,22,0,1,1,0,1,0,0,0,0,0
101,33,0,0,1,28,1,0,0,0,0,0
102,31,1,1,1,1,1,0,0,0,0,0
103,30,0,1,0,1,0,0,0,0,0,1
104,31,0,0,1,13,0,0,1,0,0,0
105,27,0,0,1,3,1,0,0,0,0,0
106,52,1,0,1,3,0,0,1,0,0,0
107,33,0,0,1,19,1,0,0,0,0,0
108,42,0,1,1,6,0,0,1,0,0,0
109,25,0,1,0,2,0,0,1,0,0,0
110,30,1,1,1,1,0,0,1,0,0,0
111,37,1,1,0,2,0,0,0,0,0,1
112,28,1,1,1,0,0,0,1,0,0,0
113,24,1,1,0,0,1,0,0,0,0,0
114,29,0,1,0,10,0,0,1,0,0,0
115,44,1,1,1,2,0,0,1,0,0,0
116,32,0,1,1,3,1,0,0,0,0,0
117,31,1,1,1,2,0,0,1,0,0,0
118,31,1,1,1,1,1,0,0,0,0,0
119,59,0,1,1,1,0,0,1,0,0,0
120,20,0,0,0,1,1,0,0,0,0,0
121,43,1,1,0,0,0,0,1,0,0,0
122,38,0,0,1,9,1,0,0,0,0,0
123,32,0,1,1,11,1,0,0,0,0,0
124,33,1,1,1,8,1,0,0,0,0,0
125,31,0,1,0,0,1,0,0,0,0,0
126,33,0,0,0,7,1,0,0,0,0,0
127,27,0,0,1,2,1,0,0,0,0,0
128,20,0,1,0,0,1,0,0,0,0,0
129,26,1,1,0,0,0,0,1,0,0,0
130,61,0,1,0,1,1,0,0,0,0,0
131,52,0,1,1,13,0,0,0,0,0,1
132,63,0,1,1,1,0,0,0,1,0,0
133,32,0,0,0,4,1,0,0,0,0,0
134,29,0,1,1,1,0,0,0,1,0,0
135,26,1,1,0,2,1,0,0,0,0,0
136,39,1,1,1,1,0,0,1,0,0,0
137,30,0,1,0,3,0,0,1,0,0,0
138,30,0,1,1,1,1,0,0,0,0,0
139,48,1,1,1,2,0,0,1,0,0,0
140,22,0,1,1,1,1,0,0,0,0,0
141,46,0,1,1,6,0,0,1,0,0,0
142,31,0,1,1,0,0,0,1,0,0,0
143,25,1,1,1,1,1,0,0,0,0,0
144,23,0,1,1,0,0,0,0,1,0,0
145,32,0,1,0,5,1,0,0,0,0,0
146,52,1,1,1,2,0,0,0,1,0,0
147,62,0,1,1,8,1,0,0,0,0,0
148,31,0,0,1,8,0,0,0,1,0,0
149,28,1,1,1,6,1,0,0,0,0,0
150,54,0,1,1,2,0,0,0,1,0,0
151,58,0,1,1,0,0,0,0,1,0,0
152,78,1,1,1,1,0,0,1,0,0,0
153,56,0,1,1,0,0,0,1,0,0,0
154,24,0,1,1,0,0,0,0,0,0,1
155,22,0,1,1,1,1,0,0,0,0,0
156,47,1,0,1,23,1,0,0,0,0,0
157,23,1,1,1,0,1,0,0,0,0,0
158,57,0,1,1,1,0,0,0,1,0,0
159,66,0,1,1,3,1,0,0,0,0,0
160,45,1,1,1,8,0,0,1,0,0,0
161,37,1,0,1,2,1,0,0,0,0,0
162,39,0,1,1,0,0,0,1,0,0,0
163,26,0,0,1,9,1,0,0,0,0,0
164,45,0,1,1,2,0,0,1,0,0,0
165,23,0,1,1,0,1,0,0,0,0,0
166,34,1,1,1,2,1,0,0,0,0,0
167,23,1,1,0,1,1,0,0,0,0,0
168,36,1,1,1,2,0,0,0,0,0,1
169,50,0,1,1,1,0,0,1,0,0,0
170,37,1,1,0,0,0,0,1,0,0,0
171,44,1,1,1,4,0,0,1,0,0,0
172,35,0,0,0,23,1,0,0,0,0,0
173,24,0,1,1,5,0,0,0,0,0,1
174,26,0,0,1,2,1,0,0,0,0,0
175,27,1,1,1,0,1,0,0,0,0,0
176,28,0,0,0,0,1,0,0,0,0,0
177,28,0,0,0,7,0,0,1,0,0,0
178,38,0,1,1,2,1,0,0,0,0,0
179,28,0,0,0,1,1,0,0,0,0,0
180,56,0,1,1,7,0,0,1,0,0,0
181,38,0,0,1,15,1,0,0,0,0,0
182,28,1,1,1,2,1,0,0,0,0,0
183,51,1,1,0,0,0,0,1,0,0,0
184,51,1,1,1,0,0,0,1,0,0,0
185,36,1,1,1,1,0,0,0,0,0,1
186,48,0,1,1,0,1,0,0,0,0,0
187,37,0,1,1,4,0,0,1,0,0,0
188,30,0,1,0,2,1,0,0,0,0,0
189,41,1,1,0,5,1,0,0,0,0,0
190,27,0,0,1,11,1,0,0,0,0,0
191,37,1,1,1,0,1,0,0,0,0,0
192,33,0,1,1,4,0,0,0,0,0,1
193,54,0,0,1,11,1,0,0,0,0,0
194,23,0,0,1,2,1,0,0,0,0,0
195,41,1,1,1,0,1,0,0,0,0,0
196,52,0,1,1,0,0,0,1,0,0,0
197,43,0,1,1,13,0,0,1,0,0,0
198,52,0,1,1,0,1,0,0,0,0,0
199,28,0,1,1,1,0,0,1,0,0,0
200,30,1,0,1,11,1,0,0,0,0,0
201,28,0,1,1,1,0,0,1,0,0,0
202,22,0,1,1,0,1,0,0,0,0,0
203,30,0,1,1,4,1,0,0,0,0,0
204,25,0,1,1,4,0,0,0,1,0,0
205,31,0,0,1,0,0,0,1,0,0,0
206,37,0,1,1,0,0,0,1,0,0,0
207,32,0,0,1,14,1,0,0,0,0,0
208,53,1,1,1,1,0,0,1,0,0,0
209,28,0,0,1,25,1,0,0,0,0,0
210,44,1,1,1,8,0,0,1,0,0,0
211,25,0,1,1,0,1,0,0,0,0,0
212,22,1,0,1,1,0,0,1,0,0,0
213,37,1,1,0,0,0,0,0,0,0,1
214,40,0,1,0,3,0,0,0,0,0,1
215,31,1,1,0,0,0,0,0,1,0,0
216,23,0,1,1,1,0,0,0,1,0,0
217,23,0,1,0,5,0,0,1,0,0,0
218,24,1,0,1,0,0,0,0,1,0,0
219,29,1,1,1,1,1,0,0,0,0,0
220,20,0,0,1,1,1,0,0,0,0,0
221,30,0,1,1,2,1,0,0,0,0,0
222,39,0,1,1,0,0,0,0,0,0,1
223,27,0,1,1,4,1,0,0,0,0,0
224,37,0,1,0,2,1,0,0,0,0,0
225,20,0,0,1,0,1,0,0,0,0,0
226,22,0,1,1,0,0,0,0,1,0,0
227,52,0,1,0,0,1,0,0,0,0,0
228,23,0,1,0,0,1,0,0,0,0,0
229,48,0,1,0,0,1,0,0,0,0,0
230,25,0,1,1,0,0,0,1,0,0,0
231,27,0,1,1,0,0,0,1,0,0,0
232,30,0,1,1,11,1,0,0,0,0,0
233,22,1,0,1,3,1,0,0,0,0,0
234,22,0,1,0,1,0,0,1,0,0,0
235,41,1,1,0,2,1,0,0,0,0,0
236,25,0,1,0,0,0,0,0,0,0,1
237,52,0,1,1,3,1,0,0,0,0,0
238,43,0,1,1,0,1,0,0,0,0,0
